word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
nevertheless	nɛvɚðəlɛs 	nevertheless	nɛvɚðəlɛs 	r	24438	24438
thirty	θɜːɾi 	thirty	θɜːɾi 	m	24427	24427
healthcare	hɛlθkɛɹ 	health-care	hɛlθkɛɹ 	n	16548	23216
health-care	hɛlθkɛɹ 	health-care	hɛlθkɛɹ 	n	6668	23216
myth	mɪθ 	myth	mɪθ 	n	16291	22770
myths	mɪθs 	myth	mɪθ 	n	6479	22770
thread	θɹɛd 	thread	θɹɛd 	n	17014	22683
threads	θɹɛdz 	thread	θɹɛd 	n	5669	22683
grandfather	ɡɹændfɑːðɚ 	grandfather	ɡɹændfɑːðɚ 	n	21504	22432
grandfathers	ɡɹændfɑːðɚz 	grandfather	ɡɹændfɑːðɚ 	n	901	22432
grand-father	ɡɹændfɑːðɚ 	grandfather	ɡɹændfɑːðɚ 	n	27	22432
furthermore	fɜːðɚmoːɹ 	furthermore	fɜːðɚmoːɹ 	r	22381	22381
catholics	kæθlɪks 	Catholic	kæθlɪk 	n	13910	22367
catholic	kæθlɪk 	Catholic	kæθlɪk 	n	8457	22367
withdraw	wɪθdɹɔː 	withdraw	wɪθdɹɔː 	v	8784	22109
withdrew	wɪθdɹuː 	withdraw	wɪθdɹɔː 	v	5192	22109
withdrawn	wɪθdɹɔːn 	withdraw	wɪθdɹɔː 	v	4767	22109
withdrawing	wɪθdɹɔːɪŋ 	withdraw	wɪθdɹɔː 	v	2511	22109
withdraws	wɪθdɹɔːz 	withdraw	wɪθdɹɔː 	v	855	22109
strengthen	stɹɛŋθən 	strengthen	stɹɛŋθən 	v	10682	21276
strengthened	stɹɛŋθənd 	strengthen	stɹɛŋθən 	v	4514	21276
strengthening	stɹɛŋθənɪŋ 	strengthen	stɹɛŋθən 	v	4045	21276
strengthens	stɹɛŋθənz 	strengthen	stɹɛŋθən 	v	2035	21276
ethics	ɛθɪks 	ethics	ɛθɪks 	n	21228	21228
hypothesis	haɪpɑːθəsɪs 	hypothesis	haɪpɑːθəsɪs 	n	15500	20698
hypotheses	haɪpɑːθəsiːz 	hypothesis	haɪpɑːθəsɪs 	n	5198	20698
leather	lɛðɚ 	leather	lɛðɚ 	n	20037	20393
leathers	lɛðɚz 	leather	lɛðɚ 	n	356	20393
athletic	æθlɛɾɪk 	athletic	æθlɛɾɪk 	j	19650	19650
monthly	mʌnθli 	monthly	mʌnθli 	j	19414	19414
sixth	sɪksθ 	sixth	sɪksθ 	m	18547	18547
ethical	ɛθɪkəl 	ethical	ɛθɪkəl 	j	18367	18367
thanksgiving	θæŋksɡɪvɪŋ 	Thanksgiving	θæŋksɡɪvɪŋ 	n	18054	18234
thanksgivings	θæŋksɡɪvɪŋz 	Thanksgiving	θæŋksɡɪvɪŋ 	n	180	18234
this	ðɪs 	this	ðɪs 	r	17786	17786
rhythm	ɹɪðəm 	rhythm	ɹɪðəm 	n	13569	17605
rhythms	ɹɪðəmz 	rhythm	ɹɪðəm 	n	4036	17605
nonetheless	nʌnðəlɛs 	nonetheless	nʌnðəlɛs 	r	17584	17584
thumb	θʌm 	thumb	θʌm 	n	12700	16776
thumbs	θʌmz 	thumb	θʌm 	n	4076	16776
earthquake	ɜːθkweɪk 	earthquake	ɜːθkweɪk 	n	11834	16050
earthquakes	ɜːθkweɪks 	earthquake	ɜːθkweɪk 	n	4216	16050
mathematics	mæθɪmæɾɪks 	mathematics	mæθɪmæɾɪks 	n	15994	15994
