word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
withdraws	w.ɪ.θ.d.ɹ.ɔː.z	withdraw	w.ɪ.θ.d.ɹ.ɔː	v	855	22109
strengthen	s.t.ɹ.ɛ.ŋ.θ.ə.n	strengthen	s.t.ɹ.ɛ.ŋ.θ.ə.n	v	10682	21276
strengthened	s.t.ɹ.ɛ.ŋ.θ.ə.n.d	strengthen	s.t.ɹ.ɛ.ŋ.θ.ə.n	v	4514	21276
strengthening	s.t.ɹ.ɛ.ŋ.θ.ə.n.ɪ.ŋ	strengthen	s.t.ɹ.ɛ.ŋ.θ.ə.n	v	4045	21276
strengthens	s.t.ɹ.ɛ.ŋ.θ.ə.n.z	strengthen	s.t.ɹ.ɛ.ŋ.θ.ə.n	v	2035	21276
ethics	ɛ.θ.ɪ.k.s	ethics	ɛ.θ.ɪ.k.s	n	21228	21228
hypothesis	h.aɪ.p.ɑː.θ.ə.s.ɪ.s	hypothesis	h.aɪ.p.ɑː.θ.ə.s.ɪ.s	n	15500	20698
hypotheses	h.aɪ.p.ɑː.θ.ə.s.iː.z	hypothesis	h.aɪ.p.ɑː.θ.ə.s.ɪ.s	n	5198	20698
leather	l.ɛ.ð.ɚ	leather	l.ɛ.ð.ɚ	n	20037	20393
leathers	l.ɛ.ð.ɚ.z	leather	l.ɛ.ð.ɚ	n	356	20393
athletic	æ.θ.l.ɛ.ɾ.ɪ.k	athletic	æ.θ.l.ɛ.ɾ.ɪ.k	j	19650	19650
monthly	m.ʌ.n.θ.l.i	monthly	m.ʌ.n.θ.l.i	j	19414	19414
sixth	s.ɪ.k.s.θ	sixth	s.ɪ.k.s.θ	m	18547	18547
ethical	ɛ.θ.ɪ.k.ə.l	ethical	ɛ.θ.ɪ.k.ə.l	j	18367	18367
thanksgiving	θ.æ.ŋ.k.s.ɡ.ɪ.v.ɪ.ŋ	Thanksgiving	θ.æ.ŋ.k.s.ɡ.ɪ.v.ɪ.ŋ	n	18054	18234
thanksgivings	θ.æ.ŋ.k.s.ɡ.ɪ.v.ɪ.ŋ.z	Thanksgiving	θ.æ.ŋ.k.s.ɡ.ɪ.v.ɪ.ŋ	n	180	18234
this	ð.ɪ.s	this	ð.ɪ.s	r	17786	17786
rhythm	ɹ.ɪ.ð.ə.m	rhythm	ɹ.ɪ.ð.ə.m	n	13569	17605
rhythms	ɹ.ɪ.ð.ə.m.z	rhythm	ɹ.ɪ.ð.ə.m	n	4036	17605
nonetheless	n.ʌ.n.ð.ə.l.ɛ.s	nonetheless	n.ʌ.n.ð.ə.l.ɛ.s	r	17584	17584
thumb	θ.ʌ.m	thumb	θ.ʌ.m	n	12700	16776
thumbs	θ.ʌ.m.z	thumb	θ.ʌ.m	n	4076	16776
earthquake	ɜː.θ.k.w.eɪ.k	earthquake	ɜː.θ.k.w.eɪ.k	n	11834	16050
earthquakes	ɜː.θ.k.w.eɪ.k.s	earthquake	ɜː.θ.k.w.eɪ.k	n	4216	16050
mathematics	m.æ.θ.ɪ.m.æ.ɾ.ɪ.k.s	mathematics	m.æ.θ.ɪ.m.æ.ɾ.ɪ.k.s	n	15994	15994
theoretical	θ.i.ə.ɹ.ɛ.ɾ.ɪ.k.ə.l	theoretical	θ.i.ə.ɹ.ɛ.ɾ.ɪ.k.ə.l	j	15943	15943
bath	b.æ.θ	bath	b.æ.θ	n	12685	15725
baths	b.æ.θ.s	bath	b.æ.θ	n	3040	15725
northwest	n.ɔː.ɹ.θ.w.ɛ.s.t	northwest	n.ɔː.ɹ.θ.w.ɛ.s.t	n	15241	15505
north-west	n.ɔː.ɹ.θ.w.ɛ.s.t	northwest	n.ɔː.ɹ.θ.w.ɛ.s.t	n	264	15505
southwest	s.aʊ.θ.w.ɛ.s.t	southwest	s.aʊ.θ.w.ɛ.s.t	n	15185	15385
south-west	s.aʊ.θ.w.ɛ.s.t	southwest	s.aʊ.θ.w.ɛ.s.t	n	200	15385
thereby	ð.ɛ.ɹ.b.aɪ	thereby	ð.ɛ.ɹ.b.aɪ	r	15288	15288
altogether	ɔː.l.t.ə.ɡ.ɛ.ð.ɚ	altogether	ɔː.l.t.ə.ɡ.ɛ.ð.ɚ	r	14986	14986
therapist	θ.ɛ.ɹ.ə.p.ɪ.s.t	therapist	θ.ɛ.ɹ.ə.p.ɪ.s.t	n	10736	14907
therapists	θ.ɛ.ɹ.ə.p.ɪ.s.t.s	therapist	θ.ɛ.ɹ.ə.p.ɪ.s.t	n	4171	14907
seventh	s.ɛ.v.ə.n.θ	seventh	s.ɛ.v.ə.n.θ	m	14877	14877
enthusiasm	ɛ.n.θ.uː.z.i.æ.z.ə.m	enthusiasm	ɛ.n.θ.uː.z.i.æ.z.ə.m	n	14486	14777
enthusiasms	ɛ.n.θ.uː.z.i.æ.z.ə.m.z	enthusiasm	ɛ.n.θ.uː.z.i.æ.z.ə.m	n	291	14777
