word	transcription	lemma	pos	wordfreq	lemfreq
thieves	θiːvz 	thief	n	5925	14374
southeast	saʊθiːst 	southeast	n	13755	14046
south-east	saʊθiːst 	southeast	n	291	14046
thoroughly	θʌɹoʊli 	thoroughly	r	14022	14022
authorized	ɔːθɚɹaɪzd 	authorize	v	8114	13916
authorize	ɔːθɚɹaɪz 	authorize	v	3073	13916
authorizing	ɔːθɚɹaɪzɪŋ 	authorize	v	1733	13916
authorizes	ɔːθɚɹaɪzᵻz 	authorize	v	996	13916
gathering	ɡæðɚɹɪŋ 	gathering	n	10667	13824
gatherings	ɡæðɚɹɪŋz 	gathering	n	3157	13824
threshold	θɹɛʃoʊld 	threshold	n	11228	13540
thresholds	θɹɛʃoʊldz 	threshold	n	2312	13540
worthy	wɜːði 	worthy	j	13279	13410
worthier	wɜːðiɚ 	worthy	j	86	13410
worthiest	wɜːðiɪst 	worthy	j	45	13410
booth	buːθ 	booth	n	10469	13234
booths	buːθs 	booth	n	2765	13234
sympathy	sɪmpəθi 	sympathy	n	11797	13166
sympathies	sɪmpəθiz 	sympathy	n	1369	13166
northeast	nɔːɹθiːst 	northeast	n	12803	13021
north-east	nɔːɹθiːst 	northeast	n	218	13021
theft	θɛft 	theft	n	11836	12907
thefts	θɛfts 	theft	n	1071	12907
sweetheart	swiːthɑːɹt 	sweetheart	n	12190	12849
sweethearts	swiːthɑːɹts 	sweetheart	n	659	12849
thrive	θɹaɪv 	thrive	v	6941	12742
thrived	θɹaɪvd 	thrive	v	2064	12742
thriving	θɹaɪvɪŋ 	thrive	v	1996	12742
thrives	θɹaɪvz 	thrive	v	1741	12742
eighth	eɪtθ 	eighth	m	12667	12667
throne	θɹoʊn 	throne	n	7758	12528
thrones	θɹoʊnz 	throne	n	4770	12528
thou	ðaʊ 	thou	p	12383	12383
faithful	feɪθfəl 	faithful	j	12238	12238
breathing	bɹiːðɪŋ 	breathing	n	12092	12110
breathings	bɹiːðɪŋz 	breathing	n	18	12110
thighs	θaɪz 	thigh	n	6344	11981
thigh	θaɪ 	thigh	n	5637	11981
